,nazwa,miasto,firma,liczba_graczy,czas_gry,kategoria,poziom_trudnosci,liczba_ocen,miejsce_w_polsce,srednia_ocena,obsluga_ocena,klimat_ocena,trudnosc_wg_graczy,podstawowe1,podstawowe2,podstawowe3,podstawowe4,podstawowe5,podstawowe6,podstawowe7,podstawowe8,podstawowe9,podstawowe10,podstawowe11,podstawowe12,podstawowe13,podstawowe14,podstawowe15,podstawowe16,podstawowe17,podstawowe18,podstawowe19,podstawowe20,bezpieczeństwo1,bezpieczeństwo2,bezpieczeństwo3,bezpieczeństwo4,bezpieczeństwo5,bezpieczeństwo6,bezpieczeństwo7,bezpieczeństwo8,bezpieczeństwo9,bezpieczeństwo10,bezpieczeństwo11,bezpieczeństwo12,bezpieczeństwo13,jezyki1,jezyki2,jezyki3,jezyki4
37,Galaktyka Tajemnic,Poznań,ESCAPE ARENA,2-5 osób,75 minut,Przygodowy,śr. zaawansowani,126 opinii,Polska: 38. miejsce,9 .7,"Obsługa:
9,9/10","Klimat:
9,8/10","Trudność wg. graczy:
Średni",Przyjazny dzieciom,Przyjazny zwierzętom,Klimatyzowany,Możliwość płatności kartą,Nie dla epileptyków,Bardzo wąskie przejścia,Nie dla kobiet w ciąży,Nieodpowiednie dla osób z klaustrofobią,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,Pełen monitoring,Pełen kontakt z mistrzem gry,Drzwi zawsze otwarte,Przycisk bezpieczeństwa,Oświetlenie awaryjne,Tylko niskie napięcie w zasięgu gracza,System awaryjnego otwierania drzwi,Dostępny żel antybakteryjny,Dostępne rekawiczki,Dezynfekowane pokoje,Ograniczony kontakt z innymi grupami,Dezynfekcja lampami UVC,NAN,angielski,polski,NAN,NAN
38,Urok,Poznań,DreamScape,2-5 osób,75 minut,Przygodowy,śr. zaawansowani,109 opinii,Polska: 39. miejsce,9 .7,"Obsługa:
9,9/10","Klimat:
9,7/10","Trudność wg. graczy:
Średni",Klimatyzowany,Nie dla epileptyków,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,Pełen monitoring,Pełen kontakt z mistrzem gry,Drzwi zawsze otwarte,System awaryjnego otwierania drzwi,Dostępny żel antybakteryjny,Dezynfekowane pokoje,NAN,NAN,NAN,NAN,NAN,NAN,NAN,polski,NAN,NAN,NAN
39,Dooby Doo,Wrocław,Fox O'clock,2-5 osób,90 minut,Thriller,doświadczony,241 opinii,Polska: 40. miejsce,NAN,NAN,NAN,NAN,Klimatyzowany,Nie dla kobiet w ciąży,Nieodpowiednie dla osób z klaustrofobią,Półmrok w pokoju,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,Pełen monitoring,Pełen kontakt z mistrzem gry,Przycisk bezpieczeństwa,System awaryjnego otwierania drzwi,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,polski,NAN,NAN,NAN
40,Ale Sztuka!,Chorzów,LOFTescape,2-4 osoby,60 minut,Fabularny,śr. zaawansowani,49 opinii,Polska: 41. miejsce,NAN,NAN,NAN,NAN,Pełen monitoring,Pełen kontakt z mistrzem gry,Drzwi zawsze otwarte,Klucz bezpieczeństwa,Oświetlenie awaryjne,Dostępny żel antybakteryjny,Dostępne rekawiczki,Dezynfekowane pokoje,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,polski,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
41,Legenda Miecza,Warszawa,Wyjście Awaryjne,2-5 osób,60 minut,Przygodowy,początkujący,342 opinie,Polska: 42. miejsce,9 .5,"Obsługa:
9,7/10","Klimat:
9,7/10","Trudność wg. graczy:
Średni",Przyjazny dzieciom,Przyjazny zwierzętom,Klimatyzowany,Gra bez aktora,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,Pełen monitoring,Pełen kontakt z mistrzem gry,Drzwi zawsze otwarte,Przycisk bezpieczeństwa,Oświetlenie awaryjne,Tylko niskie napięcie w zasięgu gracza,Dostępny żel antybakteryjny,Dostępne rekawiczki,Dezynfekowane pokoje,NAN,NAN,NAN,NAN,angielski,polski,NAN,NAN
42,Tajemnica Władcy Nilu,Bydgoszcz,Wyjście Awaryjne,2-5 osób,60 minut,Przygodowy,początkujący,167 opinii,Polska: 43. miejsce,9 .3,"Obsługa:
9,5/10","Klimat:
9,8/10","Trudność wg. graczy:
Średni",Przyjazny dzieciom,Przyjazny zwierzętom,Gra bez aktora,Możliwość płatności kartą,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,Pełen monitoring,Pełen kontakt z mistrzem gry,Drzwi zawsze otwarte,Przycisk bezpieczeństwa,Oświetlenie awaryjne,Tylko niskie napięcie w zasięgu gracza,System awaryjnego otwierania drzwi,Dostępny żel antybakteryjny,Dostępne rekawiczki,Dezynfekowane pokoje,NAN,NAN,NAN,angielski,polski,NAN,NAN
43,Wehikuł Czasu - Tajemnica Leonarda,Wrocław,Exit19.pl,2-5 osób,90 minut,Przygodowy,śr. zaawansowani,75 opinii,Polska: 44. miejsce,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
44,Kuźnia Krasnoluda,Gdynia,Escape Me Gdynia,2-4 osoby,75 minut,Fantasy,doświadczony,31 opinii,Polska: 45. miejsce,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
45,Teksańska Masakra,Poznań,Find a Way,2-5 osób,75 minut,Horror,śr. zaawansowani,21 opinii,Polska: 46. miejsce,NAN,NAN,NAN,NAN,Możliwość płatności kartą,Od 16 lat,Nie dla epileptyków,Nie dla kobiet w ciąży,Nieodpowiednie dla osób z klaustrofobią,Półmrok w pokoju,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,Pełen monitoring,Pełen kontakt z mistrzem gry,Klucz bezpieczeństwa,Oświetlenie awaryjne,Tylko niskie napięcie w zasięgu gracza,Dostępny żel antybakteryjny,Dostępne rekawiczki,NAN,NAN,NAN,NAN,NAN,NAN,angielski,polski,NAN,NAN
46,Stara Szafa,Warszawa,Świat Zagadek,2-5 osób,70 minut,Przygodowy,śr. zaawansowani,105 opinii,Polska: 47. miejsce,NAN,NAN,NAN,NAN,Przyjazny dzieciom,Przyjazny zwierzętom,Gra bez aktora,Możliwość płatności kartą,Pokój eliminacyjny Poland Escape,Półmrok w pokoju,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,Pełen monitoring,Pełen kontakt z mistrzem gry,Drzwi zawsze otwarte,Klucz bezpieczeństwa,Przycisk bezpieczeństwa,Oświetlenie awaryjne,Tylko niskie napięcie w zasięgu gracza,System awaryjnego otwierania drzwi,Dostępny żel antybakteryjny,Dostępne rekawiczki,Dezynfekowane pokoje,Ograniczony kontakt z innymi grupami,NAN,polski,NAN,NAN,NAN
47,Kopalnia Złota,Chorzów,Strych,2-4 osoby,60 minut,Przygodowy,śr. zaawansowani,92 opinie,Polska: 48. miejsce,NAN,NAN,NAN,NAN,Klimatyzowany,Od 16 lat,Nie dla epileptyków,Nie dla kobiet w ciąży,Nieodpowiednie dla osób z klaustrofobią,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,Pełen monitoring,Pełen kontakt z mistrzem gry,Przycisk bezpieczeństwa,System awaryjnego otwierania drzwi,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,polski,NAN,NAN,NAN
48,Psychopata,Rybnik,Set Me Free,2-5 osób,75 minut,Thriller,śr. zaawansowani,57 opinii,Polska: 49. miejsce,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
49,In da Club,Poznań,IN DA CLUB,2-5 osób,75 minut,Przygodowy,śr. zaawansowani,55 opinii,Polska: 50. miejsce,NAN,NAN,NAN,NAN,Klimatyzowany,Możliwość płatności kartą,Od 18 lat,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,Pełen monitoring,Pełen kontakt z mistrzem gry,Przycisk bezpieczeństwa,Oświetlenie awaryjne,Tylko niskie napięcie w zasięgu gracza,System awaryjnego otwierania drzwi,Dostępny żel antybakteryjny,Dostępne rekawiczki,Dezynfekowane pokoje,Ograniczony kontakt z innymi grupami,NAN,NAN,NAN,angielski,polski,NAN,NAN
50,Syreni Śpiew,Wrocław,Fox O'clock,2-4 osoby,60 minut,Fantasy,śr. zaawansowani,127 opinii,Polska: 51. miejsce,NAN,NAN,NAN,NAN,Pokój eliminacyjny Poland Escape,Nieodpowiednie dla osób z klaustrofobią,Półmrok w pokoju,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,Pełen monitoring,Pełen kontakt z mistrzem gry,Drzwi zawsze otwarte,Przycisk bezpieczeństwa,System awaryjnego otwierania drzwi,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,polski,NAN,NAN,NAN
51,Ubik,Bytom,Escape Graal,2-5 osób,70 minut,Fabularny,śr. zaawansowani,58 opinii,Polska: 52. miejsce,NAN,NAN,NAN,NAN,Możliwość płatności kartą,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,Pełen monitoring,Pełen kontakt z mistrzem gry,Przycisk bezpieczeństwa,Oświetlenie awaryjne,Tylko niskie napięcie w zasięgu gracza,System awaryjnego otwierania drzwi,NAN,NAN,NAN,NAN,NAN,NAN,NAN,polski,NAN,NAN,NAN
52,Wrota Czasu - Tortuga,Gliwice,TickTack,2-5 osób,60 minut,Przygodowy,śr. zaawansowani,417 opinii,Polska: 53. miejsce,9 .4,"Obsługa:
10/10","Klimat:
9,9/10","Trudność wg. graczy:
Trudny",Przyjazny dzieciom,Możliwość płatności kartą,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,Pełen monitoring,Pełen kontakt z mistrzem gry,Przycisk bezpieczeństwa,Oświetlenie awaryjne,Tylko niskie napięcie w zasięgu gracza,System awaryjnego otwierania drzwi,NAN,NAN,NAN,NAN,NAN,NAN,NAN,polski,NAN,NAN,NAN
53,Tunele pod miastem,Katowice,Quest Cage Centrum,2-4 osoby,60 minut,Przygodowy,początkujący,147 opinii,Polska: 54. miejsce,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
54,Świt nietoperzy,Poznań,Evadere,2-5 osób,75 minut,Przygodowy,doświadczony,37 opinii,Polska: 55. miejsce,NAN,NAN,NAN,NAN,Możliwość płatności kartą,Od 16 lat,Nie dla epileptyków,Nieodpowiednie dla osób z klaustrofobią,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,Pełen monitoring,Pełen kontakt z mistrzem gry,Klucz bezpieczeństwa,Tylko niskie napięcie w zasięgu gracza,Dostępny żel antybakteryjny,Dezynfekowane pokoje,Ograniczony kontakt z innymi grupami,NAN,NAN,NAN,NAN,NAN,NAN,polski,NAN,NAN,NAN
55,Sanitariusz,Swarzędz,Escape House,2-4 osoby,75 minut,Thriller,śr. zaawansowani,38 opinii,Polska: 56. miejsce,NAN,NAN,NAN,NAN,Klimatyzowany,Możliwość płatności kartą,Od 16 lat,Nie dla kobiet w ciąży,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,Pełen monitoring,Pełen kontakt z mistrzem gry,Przycisk bezpieczeństwa,Oświetlenie awaryjne,Tylko niskie napięcie w zasięgu gracza,System awaryjnego otwierania drzwi,Dostępny żel antybakteryjny,Dezynfekowane pokoje,NAN,NAN,NAN,NAN,NAN,polski,NAN,NAN,NAN
56,Tajemnicza Komnata,Warszawa,Świat Zagadek,2-5 osób,60 minut,Przygodowy,początkujący,519 opinii,Polska: 57. miejsce,NAN,NAN,NAN,NAN,Przyjazny dzieciom,Przyjazny zwierzętom,Gra bez aktora,Możliwość płatności kartą,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,Pełen monitoring,Pełen kontakt z mistrzem gry,Drzwi zawsze otwarte,Klucz bezpieczeństwa,Przycisk bezpieczeństwa,Oświetlenie awaryjne,Tylko niskie napięcie w zasięgu gracza,System awaryjnego otwierania drzwi,Dostępny żel antybakteryjny,Dostępne rekawiczki,Dezynfekowane pokoje,Ograniczony kontakt z innymi grupami,NAN,polski,NAN,NAN,NAN
57,Świątynia 2.0 - Wynalazek Tesli,Kraków,Secreto,2-5 osób,60 minut,Przygodowy,śr. zaawansowani,86 opinii,Polska: 59. miejsce,NAN,NAN,NAN,NAN,Przyjazny zwierzętom,Gra bez aktora,Od 16 lat,Nie dla epileptyków,Nie dla osób z chorobami serca,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,Pełen monitoring,Pełen kontakt z mistrzem gry,Przycisk bezpieczeństwa,Oświetlenie awaryjne,Tylko niskie napięcie w zasięgu gracza,System awaryjnego otwierania drzwi,Ograniczony kontakt z innymi grupami,NAN,NAN,NAN,NAN,NAN,NAN,polski,NAN,NAN,NAN
58,Nekromanta - Rytuał Śmierci,Wrocław,Exit19.pl,2-5 osób,70 minut,Przygodowy,śr. zaawansowani,155 opinii,Polska: 58. miejsce,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
59,Paranoja,Łódź,Tkalnia Zagadek,2-6 osób,150 minut,Horror,śr. zaawansowani,29 opinii,Polska: 60. miejsce,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
60,Kancelaria,Poznań,Key To Be Free,2-6 osób,75 minut,Kryminalny,śr. zaawansowani,12 opinii,Polska: 61. miejsce,NAN,NAN,NAN,NAN,Przyjazny niepełnosprawnym,Przyjazny zwierzętom,Możliwość płatności kartą,Od 16 lat,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,Pełen monitoring,Pełen kontakt z mistrzem gry,Przycisk bezpieczeństwa,Oświetlenie awaryjne,Tylko niskie napięcie w zasięgu gracza,Dostępny żel antybakteryjny,Dezynfekowane pokoje,Ograniczony kontakt z innymi grupami,NAN,NAN,NAN,NAN,NAN,polski,NAN,NAN,NAN
61,Magia Hogwartu,Rzeszów,Escape Room Rzeszów,2-6 osób,60 minut,Fantasy,śr. zaawansowani,47 opinii,Polska: 62. miejsce,NAN,NAN,NAN,NAN,Przyjazny dzieciom,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,Pełen monitoring,Pełen kontakt z mistrzem gry,Klucz bezpieczeństwa,Przycisk bezpieczeństwa,Oświetlenie awaryjne,Tylko niskie napięcie w zasięgu gracza,System awaryjnego otwierania drzwi,Dostępny żel antybakteryjny,Dezynfekowane pokoje,Ograniczony kontakt z innymi grupami,NAN,NAN,NAN,polski,NAN,NAN,NAN
62,Odkrywcy,Swarzędz,Escape House,2-4 osoby,60 minut,Przygodowy,śr. zaawansowani,45 opinii,Polska: 63. miejsce,NAN,NAN,NAN,NAN,Klimatyzowany,Możliwość płatności kartą,Od 16 lat,Nie dla kobiet w ciąży,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,Pełen monitoring,Pełen kontakt z mistrzem gry,Przycisk bezpieczeństwa,Oświetlenie awaryjne,Tylko niskie napięcie w zasięgu gracza,System awaryjnego otwierania drzwi,Dostępny żel antybakteryjny,Dezynfekowane pokoje,NAN,NAN,NAN,NAN,NAN,polski,NAN,NAN,NAN
63,Rosalie,Wrocław,Fox O'clock,2-4 osoby,75 minut,Thriller,doświadczony,17 opinii,Polska: 64. miejsce,NAN,NAN,NAN,NAN,Od 16 lat,Półmrok w pokoju,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,polski,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
64,Legenda Miecza,Bydgoszcz,Wyjście Awaryjne,2-5 osób,60 minut,Przygodowy,początkujący,449 opinii,Polska: 65. miejsce,9 .6,"Obsługa:
9,8/10","Klimat:
9,8/10","Trudność wg. graczy:
Średni",Przyjazny dzieciom,Przyjazny zwierzętom,Klimatyzowany,Gra bez aktora,Możliwość płatności kartą,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,Pełen monitoring,Pełen kontakt z mistrzem gry,Drzwi zawsze otwarte,Oświetlenie awaryjne,Tylko niskie napięcie w zasięgu gracza,Dostępny żel antybakteryjny,Dostępne rekawiczki,Dezynfekowane pokoje,NAN,NAN,NAN,NAN,NAN,angielski,polski,NAN,NAN
65,Złoto nazistów,Warszawa,Black Cat Escape Room,2-7 osób,60 minut,Przygodowy,śr. zaawansowani,981 opinii,Polska: 66. miejsce,NAN,NAN,NAN,NAN,Przyjazny dzieciom,Przyjazny zwierzętom,Klimatyzowany,Nie dla epileptyków,Nieodpowiednie dla osób z klaustrofobią,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,Pełen monitoring,Pełen kontakt z mistrzem gry,Drzwi zawsze otwarte,Przycisk bezpieczeństwa,Oświetlenie awaryjne,Tylko niskie napięcie w zasięgu gracza,System awaryjnego otwierania drzwi,Dostępny żel antybakteryjny,Dostępne rekawiczki,Dezynfekowane pokoje,Ograniczony kontakt z innymi grupami,NAN,NAN,angielski,polski,rosyjski,NAN
66,Saloon,Zabrze,Open The Lock,2-5 osób,75 minut,Przygodowy,śr. zaawansowani,43 opinie,Polska: 68. miejsce,NAN,NAN,NAN,NAN,Klimatyzowany,Możliwość płatności kartą,Nie dla epileptyków,Nie dla kobiet w ciąży,Możesz kupić tutaj Escape Tales,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,Pełen monitoring,Pełen kontakt z mistrzem gry,Drzwi zawsze otwarte,Oświetlenie awaryjne,Tylko niskie napięcie w zasięgu gracza,Ograniczony kontakt z innymi grupami,NAN,NAN,NAN,NAN,NAN,NAN,NAN,polski,NAN,NAN,NAN
67,Bestie Peruna,Wrocław,Trap Jungle,2-4 osoby,100 minut,Fantasy,doświadczony,2 opinie,Polska: 67. miejsce,NAN,NAN,NAN,NAN,Klimatyzowany,Od 16 lat,Nie dla epileptyków,Nie dla kobiet w ciąży,Nieodpowiednie dla osób z klaustrofobią,Półmrok w pokoju,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,Pełen monitoring,Pełen kontakt z mistrzem gry,Przycisk bezpieczeństwa,System awaryjnego otwierania drzwi,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,polski,NAN,NAN,NAN
68,Zamek Czarnego Kruka,Bytom,Can you escape?,2-5 osób,60 minut,Przygodowy,śr. zaawansowani,63 opinie,Polska: 69. miejsce,NAN,NAN,NAN,NAN,Przyjazny dzieciom,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,Pełen monitoring,Pełen kontakt z mistrzem gry,Klucz bezpieczeństwa,Tylko niskie napięcie w zasięgu gracza,System awaryjnego otwierania drzwi,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,polski,NAN,NAN,NAN
69,Primadonna,Poznań,Operator Zagadek,2-8 osób,75 minut,Przygodowy,śr. zaawansowani,77 opinii,Polska: 71. miejsce,NAN,NAN,NAN,NAN,Możliwość płatności kartą,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,Pełen monitoring,Pełen kontakt z mistrzem gry,Drzwi zawsze otwarte,Tylko niskie napięcie w zasięgu gracza,Dostępny żel antybakteryjny,Dezynfekowane pokoje,NAN,NAN,NAN,NAN,NAN,NAN,NAN,angielski,polski,NAN,NAN
70,Obłęd,Bydgoszcz,Break The Brain,3-7 osób,60 minut,Thriller,śr. zaawansowani,322 opinie,Polska: 72. miejsce,9 .4,"Obsługa:
9,8/10","Klimat:
9,8/10","Trudność wg. graczy:
Trudny",Przyjazny zwierzętom,Możliwość płatności kartą,Od 16 lat,Nie dla kobiet w ciąży,Półmrok w pokoju,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,Pełen monitoring,Pełen kontakt z mistrzem gry,Klucz bezpieczeństwa,Przycisk bezpieczeństwa,Oświetlenie awaryjne,Tylko niskie napięcie w zasięgu gracza,System awaryjnego otwierania drzwi,Dostępny żel antybakteryjny,Dezynfekowane pokoje,NAN,NAN,NAN,NAN,angielski,polski,NAN,NAN
71,Dom mordercy Remastered,Warszawa,Black Cat Escape Room,2-7 osób,70 minut,Thriller,śr. zaawansowani,1 467 opinii,Polska: 73. miejsce,9 .1,"Obsługa:
9,7/10","Klimat:
9,7/10","Trudność wg. graczy:
Trudny",Przyjazny zwierzętom,Klimatyzowany,Nie dla epileptyków,Nie dla kobiet w ciąży,Nieodpowiednie dla osób z klaustrofobią,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,Pełen monitoring,Pełen kontakt z mistrzem gry,Drzwi zawsze otwarte,Przycisk bezpieczeństwa,Oświetlenie awaryjne,Tylko niskie napięcie w zasięgu gracza,System awaryjnego otwierania drzwi,Dostępny żel antybakteryjny,Dostępne rekawiczki,Dezynfekowane pokoje,Ograniczony kontakt z innymi grupami,NAN,NAN,polski,NAN,NAN,NAN
72,Reaktor 404: powrót atomu,Katowice,Quest Cage,2-5 osób,60 minut,Fabularny,początkujący,308 opinii,Polska: 74. miejsce,NAN,NAN,NAN,NAN,Klimatyzowany,Od 16 lat,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,Pełen monitoring,Pełen kontakt z mistrzem gry,Przycisk bezpieczeństwa,Dostępny żel antybakteryjny,Dezynfekowane pokoje,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,angielski,polski,NAN,NAN
73,Jaś i Małgosia,Poznań,Escapelandia,2-4 osoby,60 minut,Fantasy,początkujący,39 opinii,Polska: 75. miejsce,9 .3,"Obsługa:
9,7/10","Klimat:
9,6/10","Trudność wg. graczy:
Łatwy",NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
74,Duch,Poznań,EXODUS,2-6 osób,60 minut,Horror,śr. zaawansowani,56 opinii,Polska: 76. miejsce,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
75,Piracka Skrzynia Umarlaka,Gdynia,Escape Me Gdynia,2-5 osób,60 minut,Fantasy,śr. zaawansowani,21 opinii,Polska: 77. miejsce,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
76,Sekretne Stowarzyszenie,Toruń,Bunkier51,2-7 osób,75 minut,Fabularny,śr. zaawansowani,21 opinii,Polska: 78. miejsce,NAN,NAN,NAN,NAN,Przyjazny dzieciom,Możliwość płatności kartą,Bardzo wąskie przejścia,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,Pełen monitoring,Pełen kontakt z mistrzem gry,Drzwi zawsze otwarte,Przycisk bezpieczeństwa,Oświetlenie awaryjne,Tylko niskie napięcie w zasięgu gracza,System awaryjnego otwierania drzwi,Dostępny żel antybakteryjny,Dostępne rekawiczki,Dezynfekowane pokoje,Ograniczony kontakt z innymi grupami,NAN,NAN,polski,NAN,NAN,NAN
77,Kim jest Max Winckler?,Warszawa,Mysterious Room,2-5 osób,60 minut,Fabularny,doświadczony,86 opinii,Polska: 79. miejsce,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
