,nazwa,miasto,firma,liczba_graczy,czas_gry,kategoria,poziom_trudnosci,liczba_ocen,miejsce_w_polsce,wazne1_1,wazne1_2,wazne1_3,wazne1_4,wazne1_5,wazne1_6,wazne1_7,wazne1_8,wazne1_9,wazne1_10,wazne1_11,wazne1_12,wazne1_13,wazne1_14,wazne1_15,wazne1_16,wazne1_17,wazne1_18,wazne1_19,wazne1_20,wazne2_1,wazne2_2,wazne2_3,wazne2_4,wazne2_5,wazne2_6,wazne2_7,wazne2_8,wazne2_9,wazne2_10,wazne2_11,wazne2_12,wazne2_13,wazne2_14,wazne2_15,wazne2_16,wazne2_17,wazne2_18,wazne2_19,wazne2_20,wazne3_1,wazne3_2,wazne3_3,wazne3_4,wazne3_5,wazne3_6,wazne3_7,wazne3_8,wazne3_9,wazne3_10,wazne3_11,wazne3_12,wazne3_13,wazne3_14,wazne3_15,wazne3_16,wazne3_17,wazne3_18,wazne3_19,wazne3_20,oceny
26,Golden Hajs,Poznań,Escapelandia,2-5 osób,75 minut,Przygodowy,doświadczony,147 opinii,Polska: 27. miejsce,Klimatyzowany,Możliwość płatności kartą,Nie dla kobiet w ciąży,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,Pełen monitoring,Pełen kontakt z mistrzem gry,Przycisk bezpieczeństwa,Oświetlenie awaryjne,Tylko niskie napięcie w zasięgu gracza,System awaryjnego otwierania drzwi,Dostępny żel antybakteryjny,Dezynfekowane pokoje,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,angielski,polski,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,"9 .7
Obsługa:
9,9/10
Klimat:
9,8/10
Trudność wg. graczy:
Trudny
Ilość opinii:
147"
27,American School Story,Wrocław,Fox O'clock,2-5 osób,90 minut,Thriller,doświadczony,128 opinii,Polska: 28. miejsce,Od 16 lat,Nie dla epileptyków,Nie dla kobiet w ciąży,Nieodpowiednie dla osób z klaustrofobią,Półmrok w pokoju,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,Pełen kontakt z mistrzem gry,Drzwi zawsze otwarte,Przycisk bezpieczeństwa,System awaryjnego otwierania drzwi,Ograniczony kontakt z innymi grupami,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,polski,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,"9 .7
Obsługa:
9,9/10
Klimat:
9,9/10
Trudność wg. graczy:
Trudny
Ilość opinii:
128"
28,Dom pogrzebowy,Poznań,Escapelandia,2-5 osób,60 minut,Przygodowy,śr. zaawansowani,159 opinii,Polska: 29. miejsce,Klimatyzowany,Gra bez aktora,Możliwość płatności kartą,Od 16 lat,Nie dla kobiet w ciąży,Nieodpowiednie dla osób z klaustrofobią,Półmrok w pokoju,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,Pełen monitoring,Pełen kontakt z mistrzem gry,Przycisk bezpieczeństwa,Oświetlenie awaryjne,System awaryjnego otwierania drzwi,Dostępny żel antybakteryjny,Dezynfekowane pokoje,Ograniczony kontakt z innymi grupami,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,angielski,polski,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,"9 .6
Obsługa:
9,8/10
Klimat:
9,9/10
Trudność wg. graczy:
Trudny
Ilość opinii:
159"
29,W cieniu piramid,Bydgoszcz,Wyjście Awaryjne,2-5 osób,60 minut,Przygodowy,śr. zaawansowani,301 opinii,Polska: 30. miejsce,Przyjazny zwierzętom,Klimatyzowany,Gra bez aktora,Możliwość płatności kartą,Pokój eliminacyjny Poland Escape,Nie dla epileptyków,Półmrok w pokoju,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,Pełen monitoring,Pełen kontakt z mistrzem gry,Drzwi zawsze otwarte,Przycisk bezpieczeństwa,Oświetlenie awaryjne,Tylko niskie napięcie w zasięgu gracza,System awaryjnego otwierania drzwi,Dostępny żel antybakteryjny,Dostępne rekawiczki,Dezynfekowane pokoje,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,angielski,polski,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,"9 .7
Obsługa:
9,8/10
Klimat:
10/10
Trudność wg. graczy:
Trudny
Ilość opinii:
301"
30,Porwany Samolot,Wrocław,Escape Bus / Escapeo,2-4 osoby,90 minut,Thriller,śr. zaawansowani,285 opinii,Polska: 31. miejsce,Klimatyzowany,Od 16 lat,Nie dla kobiet w ciąży,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,Pełen monitoring,Pełen kontakt z mistrzem gry,Drzwi zawsze otwarte,Przycisk bezpieczeństwa,Tylko niskie napięcie w zasięgu gracza,System awaryjnego otwierania drzwi,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,polski,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,"9 .7
Obsługa:
10/10
Klimat:
9,8/10
Trudność wg. graczy:
Trudny
Ilość opinii:
285"
31,Szum,Poznań,Continuum,2-5 osób,75 minut,Thriller,śr. zaawansowani,118 opinii,Polska: 32. miejsce,Przyjazny zwierzętom,Klimatyzowany,Od 16 lat,Nie dla epileptyków,Nie dla kobiet w ciąży,Nieodpowiednie dla osób z klaustrofobią,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,Pełen monitoring,Pełen kontakt z mistrzem gry,Klucz bezpieczeństwa,Tylko niskie napięcie w zasięgu gracza,System awaryjnego otwierania drzwi,Dostępny żel antybakteryjny,Dostępne rekawiczki,Dezynfekowane pokoje,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,polski,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,"9 .8
Obsługa:
9,9/10
Klimat:
9,9/10
Trudność wg. graczy:
Trudny
Ilość opinii:
118"
32,Koneser,Poznań,DreamScape,2-5 osób,75 minut,Przygodowy,śr. zaawansowani,206 opinii,Polska: 33. miejsce,Klimatyzowany,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,Pełen monitoring,Pełen kontakt z mistrzem gry,Przycisk bezpieczeństwa,System awaryjnego otwierania drzwi,Dostępny żel antybakteryjny,Dezynfekowane pokoje,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,angielski,polski,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,"9 .7
Obsługa:
9,8/10
Klimat:
9,8/10
Trudność wg. graczy:
Trudny
Ilość opinii:
206"
33,Sekret dziadka,Poznań,Escapelandia,2-5 osób,75 minut,Fabularny,doświadczony,241 opinii,Polska: 34. miejsce,Klimatyzowany,Gra bez aktora,Możliwość płatności kartą,Półmrok w pokoju,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,Pełen monitoring,Pełen kontakt z mistrzem gry,Klucz bezpieczeństwa,Przycisk bezpieczeństwa,Oświetlenie awaryjne,Tylko niskie napięcie w zasięgu gracza,System awaryjnego otwierania drzwi,Dostępny żel antybakteryjny,Dezynfekowane pokoje,Ograniczony kontakt z innymi grupami,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,polski,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,"9 .7
Obsługa:
10/10
Klimat:
9,8/10
Trudność wg. graczy:
Trudny
Ilość opinii:
241"
34,Muzeum okultyzmu Państwa Warren,Warszawa,Exciting Escape Room,2-5 osób,90 minut,Horror,doświadczony,97 opinii,Polska: 35. miejsce,Klimatyzowany,Od 18 lat,Nie dla epileptyków,Nie dla kobiet w ciąży,Nie dla osób z chorobami serca,Półmrok w pokoju,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,Pełen monitoring,Pełen kontakt z mistrzem gry,Drzwi zawsze otwarte,Oświetlenie awaryjne,Tylko niskie napięcie w zasięgu gracza,Dostępny żel antybakteryjny,Dostępne rekawiczki,Dezynfekowane pokoje,Ograniczony kontakt z innymi grupami,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,polski,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,"9 .6
Obsługa:
9,9/10
Klimat:
9,8/10
Trudność wg. graczy:
Trudny
Ilość opinii:
97"
35,Freakshow,Bydgoszcz,Break The Brain,2-4 osoby,60 minut,Thriller,początkujący,178 opinii,Polska: 36. miejsce,Klimatyzowany,Możliwość płatności kartą,Nie dla epileptyków,Nie dla kobiet w ciąży,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,Pełen monitoring,Pełen kontakt z mistrzem gry,Drzwi zawsze otwarte,Przycisk bezpieczeństwa,Oświetlenie awaryjne,Tylko niskie napięcie w zasięgu gracza,Dostępny żel antybakteryjny,Dezynfekowane pokoje,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,angielski,polski,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,"9 .7
Obsługa:
9,9/10
Klimat:
9,9/10
Trudność wg. graczy:
Średni
Ilość opinii:
178"
36,Sztukmistrz z dzielnicy Muveszet,Warszawa,Mysterious Room,2-5 osób,90 minut,Fabularny,śr. zaawansowani,61 opinii,Polska: 37. miejsce,Przyjazny zwierzętom,Możliwość płatności kartą,Od 16 lat,Możesz kupić tutaj Escape Tales,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,Pełen monitoring,Pełen kontakt z mistrzem gry,Drzwi zawsze otwarte,Oświetlenie awaryjne,Tylko niskie napięcie w zasięgu gracza,System awaryjnego otwierania drzwi,Dostępny żel antybakteryjny,Dostępne rekawiczki,Dezynfekowane pokoje,Dezynfekcja lampami UVC,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,angielski,polski,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,"9 .5
Obsługa:
9,8/10
Klimat:
9,9/10
Trudność wg. graczy:
Trudny
Ilość opinii:
61"
37,Galaktyka Tajemnic,Poznań,ESCAPE ARENA,2-5 osób,75 minut,Przygodowy,śr. zaawansowani,127 opinii,Polska: 38. miejsce,Przyjazny dzieciom,Przyjazny zwierzętom,Klimatyzowany,Możliwość płatności kartą,Nie dla epileptyków,Bardzo wąskie przejścia,Nie dla kobiet w ciąży,Nieodpowiednie dla osób z klaustrofobią,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,Pełen monitoring,Pełen kontakt z mistrzem gry,Drzwi zawsze otwarte,Przycisk bezpieczeństwa,Oświetlenie awaryjne,Tylko niskie napięcie w zasięgu gracza,System awaryjnego otwierania drzwi,Dostępny żel antybakteryjny,Dostępne rekawiczki,Dezynfekowane pokoje,Ograniczony kontakt z innymi grupami,Dezynfekcja lampami UVC,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,angielski,polski,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,"9 .7
Obsługa:
9,9/10
Klimat:
9,8/10
Trudność wg. graczy:
Średni
Ilość opinii:
127"
38,Urok,Poznań,DreamScape,2-5 osób,75 minut,Przygodowy,śr. zaawansowani,109 opinii,Polska: 39. miejsce,Klimatyzowany,Nie dla epileptyków,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,Pełen monitoring,Pełen kontakt z mistrzem gry,Drzwi zawsze otwarte,System awaryjnego otwierania drzwi,Dostępny żel antybakteryjny,Dezynfekowane pokoje,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,polski,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,"9 .7
Obsługa:
9,9/10
Klimat:
9,7/10
Trudność wg. graczy:
Średni
Ilość opinii:
109"
39,Dooby Doo,Wrocław,Fox O'clock,2-5 osób,90 minut,Thriller,doświadczony,242 opinie,Polska: 40. miejsce,Klimatyzowany,Nie dla kobiet w ciąży,Nieodpowiednie dla osób z klaustrofobią,Półmrok w pokoju,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,Pełen monitoring,Pełen kontakt z mistrzem gry,Przycisk bezpieczeństwa,System awaryjnego otwierania drzwi,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,polski,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,"9 .6
Obsługa:
9,9/10
Klimat:
9,8/10
Trudność wg. graczy:
Trudny
Ilość opinii:
242"
40,Ale Sztuka!,Chorzów,LOFTescape,2-4 osoby,60 minut,Fabularny,śr. zaawansowani,51 opinii,Polska: 41. miejsce,Pełen monitoring,Pełen kontakt z mistrzem gry,Drzwi zawsze otwarte,Klucz bezpieczeństwa,Oświetlenie awaryjne,Dostępny żel antybakteryjny,Dostępne rekawiczki,Dezynfekowane pokoje,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,polski,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,"9 .5
Obsługa:
9,8/10
Klimat:
9,8/10
Trudność wg. graczy:
Trudny
Ilość opinii:
51"
41,Legenda Miecza,Warszawa,Wyjście Awaryjne,2-5 osób,60 minut,Przygodowy,początkujący,342 opinie,Polska: 42. miejsce,Przyjazny dzieciom,Przyjazny zwierzętom,Klimatyzowany,Gra bez aktora,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,Pełen monitoring,Pełen kontakt z mistrzem gry,Drzwi zawsze otwarte,Przycisk bezpieczeństwa,Oświetlenie awaryjne,Tylko niskie napięcie w zasięgu gracza,Dostępny żel antybakteryjny,Dostępne rekawiczki,Dezynfekowane pokoje,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,angielski,polski,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,"9 .5
Obsługa:
9,7/10
Klimat:
9,7/10
Trudność wg. graczy:
Średni
Ilość opinii:
342"
42,Tajemnica Władcy Nilu,Bydgoszcz,Wyjście Awaryjne,2-5 osób,60 minut,Przygodowy,początkujący,167 opinii,Polska: 43. miejsce,Przyjazny dzieciom,Przyjazny zwierzętom,Gra bez aktora,Możliwość płatności kartą,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,Pełen monitoring,Pełen kontakt z mistrzem gry,Drzwi zawsze otwarte,Przycisk bezpieczeństwa,Oświetlenie awaryjne,Tylko niskie napięcie w zasięgu gracza,System awaryjnego otwierania drzwi,Dostępny żel antybakteryjny,Dostępne rekawiczki,Dezynfekowane pokoje,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,angielski,polski,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,"9 .3
Obsługa:
9,5/10
Klimat:
9,8/10
Trudność wg. graczy:
Średni
Ilość opinii:
167"
43,Wehikuł Czasu - Tajemnica Leonarda,Wrocław,Exit19.pl,2-5 osób,90 minut,Przygodowy,śr. zaawansowani,76 opinii,Polska: 44. miejsce,Przyjazny dzieciom,Klimatyzowany,Możliwość płatności kartą,Możesz kupić tutaj Escape Tales,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,Pełen monitoring,Pełen kontakt z mistrzem gry,Przycisk bezpieczeństwa,Oświetlenie awaryjne,Tylko niskie napięcie w zasięgu gracza,System awaryjnego otwierania drzwi,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,angielski,polski,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,"9 .5
Obsługa:
9,7/10
Klimat:
10/10
Trudność wg. graczy:
Trudny
Ilość opinii:
76"
44,Kuźnia Krasnoluda,Gdynia,Escape Me Gdynia,2-4 osoby,75 minut,Fantasy,doświadczony,31 opinii,Polska: 45. miejsce,Przyjazny dzieciom,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,Pełen monitoring,Pełen kontakt z mistrzem gry,Przycisk bezpieczeństwa,Oświetlenie awaryjne,Tylko niskie napięcie w zasięgu gracza,System awaryjnego otwierania drzwi,Dostępny żel antybakteryjny,Dostępne rekawiczki,Dezynfekowane pokoje,Ograniczony kontakt z innymi grupami,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,polski,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,"9 .8
Obsługa:
10/10
Klimat:
10/10
Trudność wg. graczy:
Trudny
Ilość opinii:
31"
45,Teksańska Masakra,Poznań,Find a Way,2-5 osób,75 minut,Horror,śr. zaawansowani,21 opinii,Polska: 46. miejsce,Możliwość płatności kartą,Od 16 lat,Nie dla epileptyków,Nie dla kobiet w ciąży,Nieodpowiednie dla osób z klaustrofobią,Półmrok w pokoju,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,Pełen monitoring,Pełen kontakt z mistrzem gry,Klucz bezpieczeństwa,Oświetlenie awaryjne,Tylko niskie napięcie w zasięgu gracza,Dostępny żel antybakteryjny,Dostępne rekawiczki,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,angielski,polski,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,"9 .5
Obsługa:
9,7/10
Klimat:
10/10
Trudność wg. graczy:
Trudny
Ilość opinii:
21"
46,Stara Szafa,Warszawa,Świat Zagadek,2-5 osób,70 minut,Przygodowy,śr. zaawansowani,105 opinii,Polska: 47. miejsce,Przyjazny dzieciom,Przyjazny zwierzętom,Gra bez aktora,Możliwość płatności kartą,Pokój eliminacyjny Poland Escape,Półmrok w pokoju,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,Pełen monitoring,Pełen kontakt z mistrzem gry,Drzwi zawsze otwarte,Klucz bezpieczeństwa,Przycisk bezpieczeństwa,Oświetlenie awaryjne,Tylko niskie napięcie w zasięgu gracza,System awaryjnego otwierania drzwi,Dostępny żel antybakteryjny,Dostępne rekawiczki,Dezynfekowane pokoje,Ograniczony kontakt z innymi grupami,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,polski,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,"9 .4
Obsługa:
9,8/10
Klimat:
9,6/10
Trudność wg. graczy:
Trudny
Ilość opinii:
105"
47,Kopalnia Złota,Chorzów,Strych,2-4 osoby,60 minut,Przygodowy,śr. zaawansowani,93 opinie,Polska: 48. miejsce,Klimatyzowany,Od 16 lat,Nie dla epileptyków,Nie dla kobiet w ciąży,Nieodpowiednie dla osób z klaustrofobią,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,Pełen monitoring,Pełen kontakt z mistrzem gry,Przycisk bezpieczeństwa,System awaryjnego otwierania drzwi,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,polski,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,"9 .5
Obsługa:
10/10
Klimat:
9,9/10
Trudność wg. graczy:
Średni
Ilość opinii:
93"
48,Psychopata,Rybnik,Set Me Free,2-5 osób,75 minut,Thriller,śr. zaawansowani,58 opinii,Polska: 49. miejsce,Klimatyzowany,Gra bez aktora,Od 16 lat,Nie dla epileptyków,Nie dla kobiet w ciąży,Nieodpowiednie dla osób z klaustrofobią,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,Pełen monitoring,Pełen kontakt z mistrzem gry,Przycisk bezpieczeństwa,Tylko niskie napięcie w zasięgu gracza,System awaryjnego otwierania drzwi,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,polski,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,"9 .8
Obsługa:
10/10
Klimat:
10/10
Trudność wg. graczy:
Trudny
Ilość opinii:
58"
49,In da Club,Poznań,IN DA CLUB,2-5 osób,75 minut,Przygodowy,śr. zaawansowani,55 opinii,Polska: 50. miejsce,Klimatyzowany,Możliwość płatności kartą,Od 18 lat,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,Pełen monitoring,Pełen kontakt z mistrzem gry,Przycisk bezpieczeństwa,Oświetlenie awaryjne,Tylko niskie napięcie w zasięgu gracza,System awaryjnego otwierania drzwi,Dostępny żel antybakteryjny,Dostępne rekawiczki,Dezynfekowane pokoje,Ograniczony kontakt z innymi grupami,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,angielski,polski,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,"9 .6
Obsługa:
9,9/10
Klimat:
9,9/10
Trudność wg. graczy:
Trudny
Ilość opinii:
55"
50,Syreni Śpiew,Wrocław,Fox O'clock,2-4 osoby,60 minut,Fantasy,śr. zaawansowani,128 opinii,Polska: 51. miejsce,Pokój eliminacyjny Poland Escape,Nieodpowiednie dla osób z klaustrofobią,Półmrok w pokoju,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,Pełen monitoring,Pełen kontakt z mistrzem gry,Drzwi zawsze otwarte,Przycisk bezpieczeństwa,System awaryjnego otwierania drzwi,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,polski,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,"9 .4
Obsługa:
9,6/10
Klimat:
9,7/10
Trudność wg. graczy:
Trudny
Ilość opinii:
128"
51,Ubik,Bytom,Escape Graal,2-5 osób,70 minut,Fabularny,śr. zaawansowani,60 opinii,Polska: 52. miejsce,Możliwość płatności kartą,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,Pełen monitoring,Pełen kontakt z mistrzem gry,Przycisk bezpieczeństwa,Oświetlenie awaryjne,Tylko niskie napięcie w zasięgu gracza,System awaryjnego otwierania drzwi,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,polski,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,"9 .5
Obsługa:
10/10
Klimat:
9,6/10
Trudność wg. graczy:
Średni
Ilość opinii:
60"
52,Wrota Czasu - Tortuga,Gliwice,TickTack,2-5 osób,60 minut,Przygodowy,śr. zaawansowani,418 opinii,Polska: 53. miejsce,Przyjazny dzieciom,Możliwość płatności kartą,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,Pełen monitoring,Pełen kontakt z mistrzem gry,Przycisk bezpieczeństwa,Oświetlenie awaryjne,Tylko niskie napięcie w zasięgu gracza,System awaryjnego otwierania drzwi,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,polski,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,"9 .4
Obsługa:
10/10
Klimat:
9,9/10
Trudność wg. graczy:
Trudny
Ilość opinii:
418"
